# Forces      
# CofR        : (0.000000e+00 0.000000e+00 2.000000e-02)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (-4.271913e-01 3.086738e+00 6.487483e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (-3.267142e+01 -9.584580e+00 2.871477e+04) (0.000000e+00 0.000000e+00 0.000000e+00))
10            	((4.545438e+08 -1.330825e+09 -1.878935e+09) (4.707186e+01 -1.494088e+02 -1.785172e+01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.243172e+10 9.878245e+09 2.560158e+12) (2.025142e+03 2.406088e+02 -1.008528e+05) (0.000000e+00 0.000000e+00 0.000000e+00))
20            	((-8.395032e+08 4.401735e+09 2.055559e+09) (6.630014e+01 -1.317563e+02 -4.720375e+01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.003561e+10 -1.540098e+10 7.106591e+12) (1.954688e+03 4.353955e+02 -9.672365e+04) (0.000000e+00 0.000000e+00 0.000000e+00))
30            	((1.019692e+09 4.496155e+09 2.564451e+09) (3.052318e+01 -3.896319e+01 -4.942940e+01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.559183e+09 4.029696e+10 8.602073e+12) (7.178637e+02 -2.081940e+02 -9.885337e+04) (0.000000e+00 0.000000e+00 0.000000e+00))
40            	((6.707758e+09 -8.475443e+08 4.743395e+09) (9.081173e+01 -1.145751e+01 -1.644453e+02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.338798e+10 8.365653e+10 8.796634e+12) (-5.441197e+01 -7.136249e+02 -1.011815e+05) (0.000000e+00 0.000000e+00 0.000000e+00))
50            	((1.289694e+10 3.373082e+09 1.991341e+09) (9.794931e+01 -8.823929e+01 -1.744124e+02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.742201e+10 1.208755e+11 8.445061e+12) (1.239235e+03 -1.615261e+03 -1.009683e+05) (0.000000e+00 0.000000e+00 0.000000e+00))
60            	((1.329165e+10 1.374158e+10 5.228225e+09) (1.014298e+01 -7.542110e+01 -1.803940e+02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.874081e+10 8.599269e+10 8.236812e+12) (3.683734e+02 -1.909974e+03 -1.001820e+05) (0.000000e+00 0.000000e+00 0.000000e+00))
70            	((-3.675731e+09 2.274404e+09 8.737516e+09) (-7.672835e+00 -4.102778e+01 -2.025038e+02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.551680e+11 -2.057965e+11 8.435055e+12) (2.822908e+03 -1.530162e+03 -9.998550e+04) (0.000000e+00 0.000000e+00 0.000000e+00))
80            	((5.045955e+09 3.383710e+09 7.978667e+09) (5.269008e+01 4.737203e+01 -2.610806e+02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.286085e+11 -1.169039e+10 8.423229e+12) (-6.532442e+02 9.467782e+02 -1.036837e+05) (0.000000e+00 0.000000e+00 0.000000e+00))
90            	((-1.063441e+10 9.632296e+08 6.960203e+08) (7.898304e+01 -1.008809e+02 -3.189620e+02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.019685e+11 -2.754908e+11 8.050911e+12) (-1.333563e+03 3.454260e+03 -1.041144e+05) (0.000000e+00 0.000000e+00 0.000000e+00))
100           	((4.305146e+09 5.256377e+09 3.622329e+08) (1.038520e+02 -1.137410e+02 -1.039059e+02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.674287e+10 1.856063e+10 8.121754e+12) (-3.035068e+03 4.960275e+03 -1.001925e+05) (0.000000e+00 0.000000e+00 0.000000e+00))
110           	((5.115750e+09 -1.292180e+10 9.555978e+09) (6.736716e+01 -1.856667e+01 5.098349e+01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.826647e+11 1.372122e+11 7.852472e+12) (-3.272374e+03 4.295647e+03 -1.027777e+05) (0.000000e+00 0.000000e+00 0.000000e+00))
120           	((4.744162e+09 -7.980185e+09 4.050398e+09) (8.304144e+01 2.090317e+01 1.072417e+02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.211473e+11 7.626950e+10 8.239236e+12) (-2.707063e+03 5.363229e+03 -1.016792e+05) (0.000000e+00 0.000000e+00 0.000000e+00))
130           	((1.244506e+10 -1.201686e+10 2.003807e+09) (1.334187e+02 -5.310504e+01 7.710722e+01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.475308e+11 1.045802e+11 8.634453e+12) (-2.165956e+03 4.882403e+03 -1.025895e+05) (0.000000e+00 0.000000e+00 0.000000e+00))
140           	((3.541084e+09 -1.321336e+10 3.399472e+09) (6.604670e+00 -9.580500e+01 2.968566e+01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.074614e+11 1.731505e+11 8.501412e+12) (-1.699125e+03 1.170423e+02 -1.024392e+05) (0.000000e+00 0.000000e+00 0.000000e+00))
150           	((-9.264184e+09 -2.069397e+10 -2.424280e+09) (9.850121e+01 3.326063e+00 -2.003148e+02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.306393e+11 -3.322779e+10 8.353019e+12) (-9.127398e+02 -2.167145e+03 -1.017147e+05) (0.000000e+00 0.000000e+00 0.000000e+00))
160           	((-5.113481e+08 -1.084913e+10 -6.782120e+09) (8.130734e+01 -2.519993e+01 -4.455074e+02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.834704e+10 -9.687231e+09 8.383641e+12) (-8.258254e+02 -1.296217e+03 -1.014142e+05) (0.000000e+00 0.000000e+00 0.000000e+00))
170           	((-3.173702e+09 -4.170079e+09 -1.442545e+10) (1.761525e+02 -8.101771e+01 -7.477968e+02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.670767e+11 -9.871433e+10 7.962764e+12) (1.286836e+03 2.934553e+00 -1.043073e+05) (0.000000e+00 0.000000e+00 0.000000e+00))
180           	((-1.830562e+08 -2.088476e+09 -2.426869e+10) (1.070689e+02 -7.917724e+01 -1.062012e+03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.335919e+10 -1.069080e+11 7.590533e+12) (1.153780e+03 -7.555528e+02 -1.042374e+05) (0.000000e+00 0.000000e+00 0.000000e+00))
190           	((-6.764449e+08 3.073806e+10 -2.283302e+10) (7.617264e+01 -1.064008e+02 -1.524992e+03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.082597e+11 -7.248103e+09 7.455037e+12) (-8.890271e+02 -1.797373e+03 -1.027353e+05) (0.000000e+00 0.000000e+00 0.000000e+00))
200           	((5.131520e+09 1.150218e+11 -6.413945e+10) (2.062579e+02 6.531745e+01 -2.144929e+03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.107322e+12 2.137009e+11 7.742263e+12) (-2.852403e+03 -1.209707e+03 -1.013067e+05) (0.000000e+00 0.000000e+00 0.000000e+00))
210           	((5.970505e+10 7.584017e+11 -2.221929e+11) (2.489719e+02 4.967014e+02 -2.567234e+03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.553826e+12 1.419749e+12 1.171537e+13) (-1.253608e+04 2.582189e+03 -9.748088e+04) (0.000000e+00 0.000000e+00 0.000000e+00))
220           	((1.298086e+11 4.768148e+12 -1.134930e+12) (4.333756e+02 1.588112e+03 -4.411080e+03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.567129e+13 7.093591e+12 3.577874e+13) (-5.007049e+04 1.696295e+04 -9.231208e+04) (0.000000e+00 0.000000e+00 0.000000e+00))
230           	((1.046602e+12 3.146672e+13 -6.507624e+12) (8.210133e+02 5.603959e+03 -9.599171e+03) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.607870e+14 5.193182e+13 1.781598e+14) (-1.574152e+05 4.587122e+04 -8.535656e+04) (0.000000e+00 0.000000e+00 0.000000e+00))
240           	((3.796134e+12 2.012534e+14 -4.217870e+13) (2.306855e+03 1.655952e+04 -2.126272e+04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.578895e+15 3.909817e+14 1.175201e+15) (-4.755962e+05 1.320465e+05 -5.853780e+04) (0.000000e+00 0.000000e+00 0.000000e+00))
